작성자,날짜,댓글내용
chan****,2020.06.01. 13:58,최민희 저인간도 콩고물 엄청 얻어 먹었나보네~그렇지 않고서야 저렇게까지 감쌀 이유가 없으리~~
doub****,2020.06.01. 06:17,"순시리는,,윤미향,,흉내도ㅡ못낸다"
ksi1****,2020.05.31. 09:38,퇴출운동에 동참합니다!
absj****,2020.05.31. 09:36,어이없다.여당과 정부가 더 문제인듯. 저게 인간이가
chic****,2020.05.31. 09:28,윤미향이 그리도 좋냐? 생긴거랑 말하는거 완전 극혐이던데...객관적으로 좀 봐라..저런 것이 국회의원인 나라가 정상인지...허긴 문재인씨도 대통령이라고 깝치는데...ㅋㅋ
leda****,2020.05.31. 03:53,문빠들 그동안 국회의원 국민소환제 하자고 하더니 1호가 윤미향 될지도 모르겠다.
pjhk****,2020.05.31. 02:01,수사해서 또 뭐 나오면 검찰이 강제 수사한다고 할거면서 ㅜㅜ 무슨 매번 수사에 수긍했던 사람들처럼 그러네..
luxe****,2020.05.31. 00:54,문제 많은데 윤미향을 왜 감싸고 도는건지 이해가 안감
djjs****,2020.05.31. 00:43,"창피하다 민주당아, 왜사니, 정당하게 못사나,"
jkg1****,2020.05.31. 00:40,퇴출 기생충모델
love****,2020.05.31. 00:37,원칙을 어긴 사람들이 출세하니 경찰들이 검찰들이 정도를 걸을지 판사가 정도를 걸을지 세상 유감
gio0****,2020.05.31. 00:31,"미래통합당이 국민적 지지를 받지 못하는 중대한 이유중 하나는 민주당의 불합리,부조리한 조치에 대해서도 야당답게 싸우지를 못하고 번번히 당하고만 있다는거다. 이번건도 또 우야무야 넘어간다면 모두 옷벗고 집에가라. 존재이유가 없다."
kati****,2020.05.31. 00:28,이번 사태는 누가봐도 윤 도둑ㄴ 하나가 위안부 할머니들을 등쳐 착복한것인데 무엇을 두고 봐야 한단 말인가! 윤미향을 옹호하는 민주당은 도둑과 내통하며 이익을 나누지 않았다면 당장 퇴출시켜라
kkam****,2020.05.31. 00:23,진보 보수를 떠나서 잘 했던 못했던 추해보인다 당당하더라도 사퇴하고 조사받아라 이미 공인으로써 국회의원 자격상실했다 어리석은 사람아 ㅉㅉㅉ
sonj****,2020.05.30. 23:54,나도 저축하는 습관을 가지고 있다 🐕 년아
bali****,2020.09.21. 07:33,"도덕적으로 일단 아웃! 더민주가사퇴안시키면, 퇴출촛불집회불사하게씀!"
hji5****,2020.05.30. 23:46,윤미향을 국민이 퇴출운동하자는 것에 적극 찬성한다
kmut****,2020.05.30. 23:31,윤미향씨꼭 그래야만 했나요???
gigi****,2020.05.30. 23:31,촛불을 들어야지연출은 문산당들이 잘하는데...
como****,2020.05.30. 23:20,"국회의원은 국민이 뽑는다 국민을 대신 하는 막중한 임무, 책임, 도덕성, 을 가져야 하는 자리다 그런 자리에 비례대표로 국민에 선택과 상관없이 당선 된 윤미향의원은 비례대표 폐지에 상징이며 누구를 위한 비례 대표인지 다시 한번 우리에게 현 정치는 줫뎃음을 잘 보여 주고 있는 한가지 사례라고 생각한다."
ajch****,2020.05.30. 23:17,돈의 맛과 권력 맛을 보았으니...쉽게 못내려놓지~결국 국민들이 끌어내려야 할 듯! 저런 것한테 민주딩 얼마나 돈을 받아 먹었기에...두고보자는 건지...니들도 결국 최순실하고 똑같애~아니 더하면 더 했지...덜하지는 않아...대한민국 정치판이 수준이 뭐 그렇지...교육부도 돌아가는 껄 보고 있자니....어이상실...유씨나 윤씨나...참...양심과 개념은 저 멀리 안드러메다로 bye~
tutt****,2020.05.30. 23:14,저런거 하나 바로바로 못쫓아내고ㅋㅋㅋㅋㅋㅋ
kmca****,2020.05.30. 23:12,조국이때랑 똑같네 뻔뻔함 이제 놀랍지도 않다 의원사퇴는 기본에 구속조사하고 정의연해체해야는 사항이다
moll****,2020.05.30. 23:09,잘못을 당당하게 배짱으로 굵은 목소리로 사죄하는 것이 반성인가?? 왠지 무섭다!
tal2****,2020.05.30. 23:04,민주당 진짜 너네도 야당 욕하지 마라 다같이 사라졌어야 할 하이에나들
mkko****,2020.05.30. 23:30,박근혜- 최순실 문재인 - 윤미향 최순실 윤미향중 누가더 악질인가? 누가 알려주실분?
tnwl****,2020.05.31. 11:33,검찰 못 믿겠다는 것들이 무슨 수사를 지켜보겠다고 수작을 부리는겨. 윤미향이 유죄나오면 검찰개혁해야 한다고 주장하며 공수처에서 수사하겠다고 수작부리겠지. 해찬아 그렇지? 일본군인보다 더 더럽고 추악한 대한민국 국민성. 대한민국은 일본에 사과를 요구할 자격도 멊는 불령국가다
myeo****,2020.05.30. 22:54,이번정권은 코로나에 기생하는 정권
yooj****,2020.05.30. 22:51,이 정부를 선택한 꼴이 이꼴이다
dn60****,2020.05.30. 22:49,"국민퇴출운동의 일환으로, 촛불집회 하자.구속시키고 감싸는놈들도 조사해라~뭔가 얻어쳐먹은것 같다."
kmp1****,2020.06.05. 07:36,진짜 우리나라는 빨갱이들이나 조선족한테 먹히고있나보다.. 정작 세금내고있는사람들은 당하는게 당연하다고 생각해서 가만히들 있는건가.. 보수진영쪽은 누구하나 목숨걸고 나서질 않네
ssbh****,2020.05.30. 22:42,부정선거 기사는 찾아볼 수가 없네. 언론장악 문산당 정부
shin****,2020.05.31. 02:34,온국민이 국회의사당을 점거해야합니다 미래통합당가지고는 절대못합니다 죽창들고나섭시다
eyki****,2020.05.30. 21:58,이제부터눈 정치비리는 정치권에 맡길것이 아니라 국민이 직접 나서서 해결해야힙니다. 부정과 비리눈 국민이 직접 해결해야할 때입니다. 국민퇴출운동 적극 지지합니다.
hydr****,2020.05.30. 21:58,이것들을 옹호하는 극좌 민주당 옹호자들과 민주당은 너희들도 이제 더이상 진보 민주세력이 아니다 너희들 배속 채우눈데 국민을 이용하는것 밖에 안된다 민주당도 골수 꼰데들은 법적처벌 받고 사퇴하도록 편들기 편가르기 그만해야함
shin****,2020.05.30. 21:49,이예편네좀 어떻게 내쫓거나 좀하세요
nobl****,2020.05.30. 21:45,참 민즛당스럽다..에라이..다 해처먹어라 퉤.
sang****,2020.05.30. 21:45,진짜 일본놈들과 똑같다.. 화가난다..어떻게 힘든 세월을 견뎌낸 분들을 이용할 수가..
thin****,2020.05.30. 21:42,기부금 명단을 밝히지못하는 이유가 세액공제를 위한 가짜 기부자들도 많기때문이 아닐까하는 의혹도 든다 정의연 관계자 및 주변 지인들의 기부자 세액공제내역도 조사해야한다고 생각함 이번 기회에 가짜기부자들 조사해서 탈세금액 환수하고 진정한 기부문화 장착해야한다고생각함
soul****,2020.05.30. 21:38,국민퇴출 운동해야지?이젠 국민이 바보같이 당하지 말아야 한다. 국회의원 잘못된자들은 국민들이 심판해야 한다
pkh6****,2020.05.31. 11:51,"민주당이 얼마나 양아치인지 너무 잘보여주는 사례다. 내로남불 그 자체다. 남이하는건 신상털기, 가짜뉴스, 의혹이라고 하고 이건 너무 말해서 입이 아플정도다. 문재앙은 곱게 죽지못할거같네..."
oklo****,2020.05.30. 21:37,퇴출해 .라
skyp****,2020.05.30. 21:37,"검찰이 수사한다고 별수 있겠냐.우리 병민들은 스트레스 받지말고, 발씻고 자자. 180석이다. 민주당이 결정하는거다."
top4****,2020.05.30. 21:36,광화가서ㆍ촛불시위합시다ᆞ
vip6****,2020.05.30. 21:35,퇴출!제발
qotk****,2020.05.30. 21:34,ㅎㅎ진실이 무엇이든 1달은 지켜봐야 결정날듯한마디로 시간이 약이다 힘없는 보수지역에선 속터질 일이지만 현실이 이러하다 ..그러게 3년 동안 기회있을때 일좀하고 반성할건하고 했으면표로국민사랑받고이런 일터질때 힘좀 써볼건데 ..ㅉㅉ
kuhy****,2020.05.30. 21:34,윤미향 퇴출 청원에 한표진짜 나쁜사람 입니다
icon****,2020.05.30. 22:01,민주당도 뭔가 있나? 왜자꾸 저렇게 나올까? 어느정도의 정황은 나왔는데...민주당은 저렇게 해서 검찰에 압력을...
y6k6****,2020.05.30. 21:30,기자회견은 쇼다ㆍ진땀흘리고 거짓말 투성이 ㆍ민주당은 싹다 갈아 엎어야 된다
lshs****,2020.05.30. 21:07,윤미향 조국 민주당 문재인 진짜 한계가 왔다 더이상 지켜볼 수 없을 뿐더러 지금이 아니면 돌이킬수 없는 지경에 다다른듯 하다 우리나라 국민으로 요즘 심히 나라가 걱정되고 이것들 죄다 퇴출 시키지 않으면 나라도 망하고 공산화 될꺼같다
poil****,2022.06.02. 19:47,더불어 같이 해처먹었네 ! 더런 것들 !
cheu****,2020.06.18. 08:20,퇴출에 한표
kimj****,2020.05.30. 20:50,김복동할머니가 사업해서 성공하심??? 용돈으로 준 돈으로 유학갈정도????
tngu****,2020.11.30. 14:13,"인간이하의 말종들만 득시글거리는 좌빨집단. 악마의 탈을 쓴 윤미향을 보호하려는 좌빨집단. 더러운 좌빨, 상종하기 싫은 좌빨."
gnlt****,2022.07.05. 14:24,민주당한표 던졌지만 윤미향은 아니네요~
ds66****,2020.05.30. 20:28,정말 갈기갈기 몸통을 찢고 싶다
jonn****,2020.05.30. 20:26,이참에 남편이 공무원인 여성 시민 장애단체 대표들 전수 감사조사하자
koiv****,2020.05.30. 20:18,문재인 정권이후 국민들을 선과 악의 개념이 아니라 진영논리로 분열시켜버림 나쁘다 아니다가 아니라 좌파냐 우파냐를 따지는 세상이 되버렸다
esra****,2020.05.30. 20:14,왜댓글이 안나오나요주 작인가요
ojun****,2022.10.08. 13:14,개야너역쉬개야
phs5****,2020.05.31. 15:32,촛불집회를해서라도 도둑뇬을몰아냅시다 지금당장이라도 나가고싶다
mrkb****,2020.05.30. 19:53,"윤미향에 대한 더러운 민주당의 대처는 북한의 유일당 체제의 김정은 정권과 차이가 없다. 더러운 민주당이 궤변적 좌파라는 것이 당의 한계이다. 오늘도, 촛불혁명이니 적폐청산, 공정한 사회, 기회 균등 말하지만, 조국, 윤미향이 너의 당의 실상이다. 그럼에도 당을 위한, 당에의한, 당의 더러운 청치를 보여주고 있다. 검은 세력의 리더 이해찬."
lisa****,2020.05.30. 22:48,까도까도 양파 라 생각하면됨
love****,2020.06.04. 04:40,그동안 위안부할머니들에게 관심도 없던 무리들이 이일에 열내는게 너무 웃기네. 정치에 할머니를 이용하지마라. 정치공작 질린다.
sda1****,2020.07.08. 07:22,야 니들이 정치얘기로 흥분하며 열불낼때 최강욱은 최고급 렉서스 끌고 윤미향 자식은 자유분방한 고급동네에 위치한 UCLA에서 공부한다. 조국은 특권으로 자녀를 의사로 키웠다. 니들은 뭐했냐
snow****,2021.12.02. 18:50,민주당좋아하는 촛불집회하자
